Grade,Student ID,Name,Course
99,28,Justin Conrad,COMPSCI 310
91,37,Simone Scott,COMPSCI 312
87,91,Donald Schultz,COMPSCI 321
87,19,Blair Heaton,COMPSCI 309
87,79,Kerys John,COMPSCI 319
86,64,Jameson Best,COMPSCI 316
85,73,Alys Mccormick,COMPSCI 318
85,97,Angus Navarro,COMPSCI 322
83,88,Kwame Mckenzie,COMPSCI 320
83,16,Allan Povey,COMPSCI 308
83,61,Antoine Cummings,COMPSCI 316
82,25,Angelina Shepard,COMPSCI 310
81,4,Elsie Medina,COMPSCI 306
80,76,Simran Hahn,COMPSCI 318
79,10,Darrell Newton,COMPSCI 307
79,43,Priyanka Nieves,COMPSCI 313
78,100,Simeon Rowley,COMPSCI 322
76,52,Eloisa Serrano,COMPSCI 314
74,34,Yassin Mcintyre,COMPSCI 311
74,22,Joy Ayers,COMPSCI 309
74,49,Ihsan Burt,COMPSCI 314
73,94,Maiya Gallegos,COMPSCI 321
72,70,Tegan Fox,COMPSCI 317
72,67,Iqra Hodson,COMPSCI 317
71,46,Mitchell Duran,COMPSCI 313
69,85,Aamina Mclaughlin,COMPSCI 320
69,55,Kelsey Ware,COMPSCI 315
67,58,Arielle Pope,COMPSCI 315
66,1,Sacha Rich,COMPSCI 306
66,82,Braxton Colley,COMPSCI 319
65,40,Elize Robin,COMPSCI 312
63,7,Liyah Preece,COMPSCI 307
58,31,Aryaan Coates,COMPSCI 311
53,13,Luther Thornton,COMPSCI 308
